date,price
2020-12-15,659.99
2020-12-16,569.99
2020-12-19,659.99
2020-12-20,569.99
2020-12-23,669.99
2021-01-01,569.99
2021-01-11,649.99
2021-01-14,659.99
2021-01-20,799.99
2021-01-29,819.99
2021-01-30,859.99
2021-02-05,819.99
2021-02-06,659.99
2021-02-07,799.99
2021-02-08,649.99
2021-02-09,599.99
2021-02-10,699.99
2021-02-11,669.99
2021-02-12,809.99
2021-02-13,699.99
2021-02-17,809.99
2021-02-18,799.99
2021-02-19,669.99
2021-02-27,719.99
2021-02-28,629.99
2021-03-02,689.99
2021-03-03,719.99
2021-03-05,829.99
2021-03-06,819.99
2021-03-08,769.99
2021-03-10,744.99
2021-03-11,819.99
2021-03-13,624.99
2021-03-17,769.99
2021-03-18,709.99
2021-03-20,699.99
2021-03-31,689.99
2021-04-03,699.99
2021-04-06,689.99
2021-04-14,699.99
2021-04-15,689.99
2021-04-17,699.99
2021-05-13,799.99
2021-05-15,1599.99
2021-05-16,699.99
2021-05-18,799.99
2021-05-20,699.99
2021-05-25,799.99
2021-07-03,1086.99
2021-09-03,1199.99
2021-09-09,1239.99
2021-09-29,1184.99
2021-10-05,1147.99
2021-10-11,1049.99
2021-11-20,1089.97
2021-11-22,1097.19
2021-12-17,1145.99
2021-12-19,1129.99
2021-12-21,1029.99
2021-12-24,1079.99
2022-03-04,1033.14
2022-03-05,1049.99
2022-03-10,949.99
2022-03-28,909.99
2022-03-30,835.73
2022-04-02,839.99
2022-04-03,837.49
2022-04-04,835.16
2022-04-05,839.99
2022-04-06,837.46
2022-04-07,839.99
2022-04-10,799.99
2022-04-11,839.99
2022-04-15,699.99
2022-04-17,779.99
2022-04-18,839.99
2022-04-20,829.99
2022-04-21,749.99
2022-04-25,629.99
2022-04-26,749.99
2022-04-28,719.99
2022-05-03,629.99
2022-05-04,719.99
2022-05-11,659.99
2022-05-12,629.99
2022-05-17,679.99
2022-05-21,629.99
2022-05-22,659.99
2022-05-23,629.99
2022-06-01,599.99
2022-06-06,629.99
2022-06-09,599.99
2022-06-12,619.99
2022-06-13,599.99
2022-06-15,619.99
2022-06-16,599.99
2022-06-23,579.99
2022-07-14,560.72
2022-07-15,550.25
2022-07-16,529.99
2022-07-21,525.93
2022-07-22,529.99
2022-07-23,524.99
2022-07-26,520.54
2022-07-28,515.95
2022-07-29,516.16
2022-07-30,515.99
